Age,Gender Identity,Gender Alignment,Main Species
17,male,cisgender,pandabear
24,male,cisgender,otherbird
24,mostly_female,cisgender,dragon
24,male,cisgender,otherfox
34,male,cisgender,hyaena
26,male,cisgender,redfox
28,male,transgender,wolf
17,mostly_male,complicated,othermarsupial
28,male,cisgender,wolf
26,both,transgender,tiger
21,male,cisgender,domesticcat
27,male,cisgender,redfox
29,female,cisgender,lion
25,male,cisgender,skunk
27,mostly_male,complicated,snowleopard
23,male,cisgender,wolf
23,male,cisgender,fennec
19,male,cisgender,other
16,female,transgender,rat
31,male,cisgender,otherfeline
27,male,cisgender,cheetah
17,male,cisgender,wolf
36,male,cisgender,lion
21,male,cisgender,othercanine
22,male,cisgender,lion
25,female,cisgender,other
28,mostly_male,complicated,dragon
24,male,cisgender,wolf
15,male,cisgender,kitsune
29,female,cisgender,otherdog
24,female,cisgender,wolf
22,male,cisgender,fennec
27,male,cisgender,redfox
23,female,transgender,pandabear
24,male,cisgender,collie
23,male,cisgender,otherdog
26,male,transgender,otherdog
18,female,cisgender,domesticcat
40,male,cisgender,domesticcat
19,male,cisgender,polarbear
23,male,cisgender,dragon
18,male,cisgender,raccoon
17,nonbinary_nos,complicated,
20,female,cisgender,dinosaur
100,male,cisgender,skunk
30,male,cisgender,other
21,female,cisgender,otherdog
31,male,cisgender,domesticcat
29,male,cisgender,hyaena
17,female,cisgender,otherdog
28,male,cisgender,other
23,male,cisgender,domesticcat
29,male,cisgender,domesticcat
27,male,cisgender,cougar
23,female,transgender,tiger
23,genderqueer,transgender,other
24,male,cisgender,kitsune
35,nonbinary_nos,transgender,domesticcat
18,mostly_female,cisgender,lizard
20,female,transgender,otherungulate
20,male,cisgender,wolf
25,neutrois,transgender,wolf
17,both,transgender,grizzlybear
30,male,cisgender,horse
17,nonbinary_nos,transgender,husky
18,male,cisgender,otherdog
28,male,cisgender,wolf
32,male,cisgender,otherfox
22,mostly_male,transgender,othercanine
21,male,cisgender,other
28,male,cisgender,cougar
38,male,cisgender,otherbear
33,mostly_female,cisgender,kitsune
28,mostly_male,transgender,wolf
29,male,cisgender,
18,male,cisgender,dragon
22,male,transgender,otherfox
35,male,cisgender,other
30,male,cisgender,coyote
20,male,cisgender,grizzlybear
21,male,cisgender,redfox
21,male,cisgender,bat
25,male,cisgender,wolf
30,male,cisgender,wolf
26,female,cisgender,lion
31,male,cisgender,otherdog
25,male,cisgender,jackal
26,female,transgender,otherdog
18,male,cisgender,husky
22,male,cisgender,dragon
33,male,cisgender,wolf
39,genderqueer,cisgender,wolf
36,male,cisgender,cheetah
21,genderqueer,complicated,otherfox
24,male,cisgender,lion
20,male,cisgender,domesticcat
43,female,cisgender,hyaena
30,genderqueer,complicated,other
24,male,cisgender,dinosaur
31,both,complicated,
26,female,cisgender,wolf
40,male,cisgender,other
29,neutrois,cisgender,otherungulate
32,male,cisgender,rat
27,male,cisgender,redfox
30,male,cisgender,cougar
41,male,cisgender,
31,female,cisgender,otherfeline
19,male,cisgender,snowleopard
31,male,cisgender,
19,male,cisgender,redfox
28,female,cisgender,otherdog
25,male,cisgender,redfox
23,female,transgender,snowleopard
60,male,cisgender,wolf
18,female,cisgender,rabbit
28,genderqueer,complicated,anthro
46,male,cisgender,dragon
25,genderqueer,transgender,otherfeline
31,male,cisgender,wolf
40,female,cisgender,tiger
22,male,cisgender,snowleopard
37,male,cisgender,other
27,mostly_female,transgender,redfox
26,male,cisgender,otherfox
23,mostly_female,transgender,anthro
33,male,cisgender,tiger
28,male,cisgender,snowleopard
28,male,cisgender,raptor
28,genderqueer,complicated,redfox
20,male,cisgender,greyfox
18,male,cisgender,wolf
20,mostly_male,cisgender,otherdog
22,male,cisgender,rat
24,male,cisgender,other
24,male,cisgender,dragon
20,male,cisgender,wolf
28,male,cisgender,horse
28,male,cisgender,deer
35,male,cisgender,tiger
41,male,cisgender,wolf
21,male,cisgender,germanshepherd
22,male,cisgender,redfox
24,male,cisgender,rabbit
24,male,cisgender,dragon
29,male,cisgender,kitsune
31,male,cisgender,
17,male,cisgender,tiger
26,female,cisgender,husky
16,male,cisgender,lizard
30,male,cisgender,othercanine
18,both,transgender,
26,genderqueer,transgender,wolf
22,male,cisgender,polarbear
38,male,cisgender,otherbear
17,female,cisgender,wolf
30,male,cisgender,redpanda
38,male,cisgender,otherbear
21,male,cisgender,kitsune
28,male,cisgender,other
39,male,cisgender,wolf
64,male,cisgender,other
21,female,cisgender,dragon
15,male,cisgender,dragon
22,male,cisgender,
24,male,cisgender,
23,male,cisgender,otherfox
17,male,cisgender,other
28,male,cisgender,hyaena
28,male,cisgender,redfox
45,male,cisgender,tiger
32,female,cisgender,raccoon
21,male,cisgender,
25,mostly_male,cisgender,dragon
27,male,cisgender,domesticcat
28,male,cisgender,otherfeline
27,male,cisgender,dragon
21,male,cisgender,tiger
16,male,cisgender,husky
21,female,cisgender,otherfeline
17,male,cisgender,
27,male,cisgender,otherdog
27,male,cisgender,kitsune
31,female,cisgender,wolf
17,female,transgender,wolf
18,male,cisgender,wolf
30,male,cisgender,dragon
29,male,cisgender,snowleopard
21,male,cisgender,
49,male,cisgender,greyfox
24,neutrois,transgender,raptor
20,male,cisgender,weasel
28,male,cisgender,horse
22,female,cisgender,fennec
29,male,cisgender,lion
23,mostly_male,cisgender,otherungulate
27,mostly_male,cisgender,dragon
24,mostly_female,transgender,greyfox
21,genderqueer,complicated,dragon
27,male,cisgender,wolf
21,male,cisgender,rabbit
23,male,cisgender,other
23,male,cisgender,dragon
25,male,cisgender,domesticcat
24,male,cisgender,dragon
21,male,cisgender,other
25,mostly_male,cisgender,tiger
27,male,cisgender,otherdog
25,male,cisgender,polarbear
27,male,cisgender,
27,female,cisgender,other
21,female,cisgender,wolf
21,male,cisgender,redfox
24,male,transgender,panther
18,female,cisgender,wolf
19,male,cisgender,husky
20,mostly_male,transgender,othercanine
23,mostly_male,cisgender,redpanda
27,male,cisgender,redfox
28,male,cisgender,otherfeline
25,male,cisgender,arcticfox
22,genderqueer,complicated,wolf
