age,orientation
15,Completely homosexual
17,Mostly heterosexual
17,"Bisexual, leaning homosexual"
23,"Bisexual, leaning heterosexual"
20,Completely homosexual
23,Mostly homosexual
19,Pansexual
16,Mostly heterosexual
36,Pansexual
23,Completely homosexual
30,"Bisexual, leaning homosexual"
24,Mostly homosexual
28,Completely homosexual
26,Completely heterosexual
29,Completely homosexual
28,Mostly homosexual
23,Bisexual
19,Bisexual
22,Mostly heterosexual
29,"Bisexual, leaning heterosexual"
19,Mostly homosexual
22,Completely homosexual
18,"Bisexual, leaning homosexual"
17,"Bisexual, leaning heterosexual"
15,Pansexual
22,Completely heterosexual
22,Other
22,Completely heterosexual
20,"Bisexual, leaning homosexual"
23,Mostly heterosexual
18,"Bisexual, leaning homosexual"
17,Asexual
15,Completely heterosexual
38,Completely heterosexual
20,Other
24,"Bisexual, leaning heterosexual"
24,"Bisexual, leaning heterosexual"
21,Completely heterosexual
16,"Bisexual, leaning homosexual"
17,Pansexual
18,Asexual
25,Bisexual
18,Bisexual
20,"Bisexual, leaning homosexual"
25,Asexual
19,Completely homosexual
17,Completely heterosexual
56,Mostly heterosexual
20,Mostly heterosexual
18,Pansexual
25,Mostly heterosexual
19,"Bisexual, leaning heterosexual"
20,"Bisexual, leaning heterosexual"
18,"Bisexual, leaning homosexual"
19,Mostly homosexual
17,Completely homosexual
21,Mostly homosexual
17,Bisexual
16,Mostly homosexual
24,Mostly heterosexual
32,Completely heterosexual
17,"Bisexual, leaning homosexual"
14,Bisexual
24,"Bisexual, leaning homosexual"
18,Completely heterosexual
17,Mostly heterosexual
19,Mostly heterosexual
13,Completely heterosexual
22,Mostly heterosexual
16,Mostly homosexual
26,Mostly heterosexual
17,Completely homosexual
25,Completely homosexual
20,Mostly homosexual
19,Bisexual
19,Mostly homosexual
23,Mostly homosexual
21,Completely homosexual
19,"Bisexual, leaning heterosexual"
24,"Bisexual, leaning homosexual"
19,Completely heterosexual
34,"Bisexual, leaning homosexual"
16,Mostly heterosexual
29,Mostly homosexual
17,Bisexual
20,Bisexual
24,Completely heterosexual
25,Completely homosexual
26,Mostly homosexual
25,Completely homosexual
18,Completely heterosexual
23,Completely homosexual
25,Mostly homosexual
26,Mostly heterosexual
19,"Bisexual, leaning heterosexual"
19,Asexual
18,"Bisexual, leaning heterosexual"
15,Asexual
15,Asexual
20,Completely homosexual
17,Completely heterosexual
17,Bisexual
22,Completely homosexual
20,Bisexual
24,Mostly heterosexual
17,"Bisexual, leaning heterosexual"
20,"Bisexual, leaning homosexual"
18,"Bisexual, leaning heterosexual"
23,"Bisexual, leaning homosexual"
22,Pansexual
18,Completely homosexual
