Species,Sexual dominance,Romantic dominance,Social dominance
husky,1,-2,-1
horse,2,2,1
other,1,1,-1
domesticcat,-2,-2,-2
otherfeline; other,0,0,-1
collie,1,0,1
redfox,1,-1,2
domesticcat,2,1,2
othermarsupial,-1,0,-2
wolf,-2,0,-2
domesticcat,0,-1,-1
fennec,-1,-1,0
greyfox,-2,-2,-1
riverotter,-1,-1,0
raptor,0,0,1
tiger,-1,-1,-1
raccoon,1,0,-1
wolf,0,0,1
other,-1,-1,-2
otherdog,1,1,0
other,-1,1,0
rabbit,0,0,-1
husky,0,0,0
other,0,1,1
other,2,0,0
redfox,0,-1,-1
other,-2,0,-2
bat,-2,-2,0
otherreptile,-1,-1,2
domesticcat; hyaena; other,0,-2,1
kitsune; otherfox,-1,-1,-1
dragon; skunk,-2,-2,0
panther,2,1,0
domesticcat,-1,-1,0
husky,2,2,0
rabbit,-2,-2,0
redfox,-2,-2,-2
leopard,-1,-1,0
redfox,0,0,1
wolf,0,1,-1
wolf,0,0,0
wolf; otherdog; other,1,-1,0
lion; raccoon; deer,1,1,0
other,-1,1,1
redfox,1,-1,2
horse,-2,-1,0
otherdog,2,2,2
redfox,0,0,0
wolf,1,1,0
hyaena,-2,-1,0
wolf,1,1,1
otherdog; other,2,1,1
redfox; othercanine; other,-1,-1,-1
otherdog,-1,-1,-1
otherfox,0,1,0
domesticcat; raccoon,-2,0,-1
husky,0,0,0
wolf; arcticfox; domesticcat,-2,-1,1
wolf,-2,0,1
wolf; otherdog,-1,-1,0
bat; other,1,1,1
bat,1,1,0
rabbit,-1,0,-1
kitsune; otherfox,-1,-1,0
redfox,-1,0,-1
cheetah,0,0,0
wolf; fennec,-2,-1,-2
wolf; germanshepherd; husky,1,-2,1
riverotter,-1,1,-1
wolf,-1,0,0
tiger,-1,-2,-2
otherdog,0,0,-1
arcticfox,1,0,-1
germanshepherd,0,0,2
riverotter,-1,1,0
domesticcat,-2,-1,-1
other,0,1,1
husky,2,0,0
cheetah,-1,0,-1
wolf,0,0,-1
wolf; deer; other,1,-1,0
wolf,-2,-1,0
tiger; domesticcat; dragon,1,-1,-1
snowleopard,0,0,-1
wolf,0,0,-1
leopard,-1,-1,-1
,1,0,-1
badger; kangaroo,0,-1,0
husky,0,0,-1
wolf; redfox; dragon,-1,-2,-2
wolf,0,1,1
panther,-1,0,-1
wolf,0,1,2
other,1,1,0
wolf,0,0,1
other,-1,0,1
otherfeline; other,2,1,0
otherfox,-1,-1,0
tiger,-1,-1,0
kitsune,0,0,-2
panther,,1,1
otherfox,-1,-2,-1
wolf; greyfox,0,0,0
fennec,-2,1,0
leopard,-1,-1,1
domesticcat,1,-1,0
kitsune,0,0,0
griffin; other,-1,1,0
dragon,1,0,1
other,-1,-1,-2
kitsune,-1,1,1
wolf; other,1,1,0
tiger; dragon,0,0,-1
wolf,0,0,1
cheetah; rabbit,-2,0,1
arcticfox,-2,-1,1
other,-2,-1,1
domesticcat,1,0,-1
other,-1,-1,1
other,-2,-2,2
other,0,1,0
bat,-1,0,0
germanshepherd,-1,-1,1
wolf; leopard; snowleopard; panther,-2,-2,0
cheetah,1,0,1
rat,-1,1,0
other,0,0,0
other,0,-1,1
dragon; other,-1,2,0
other,-1,-1,-1
dragon,-1,0,2
,-2,-1,0
wolf; arcticfox,1,0,0
grizzlybear; polarbear,0,-1,1
domesticcat,1,0,0
lion,0,1,2
raptor,0,0,1
wolf,0,0,0
otherreptile; other,0,0,-1
dragon,-2,-2,2
dragon,1,1,0
skunk,-1,-1,0
otherfox; domesticcat,-1,0,1
domesticcat,-2,-2,-1
mouse,0,0,-1
raccoon,-1,-1,0
redfox; raptor; griffin,0,0,-1
other,-1,1,1
wolf; redfox; coyote; husky; collie,1,1,1
coyote,0,-1,0
deer,1,1,0
otherdog; redpanda; deer; other,0,0,0
fennec,-1,1,2
other,0,0,
redfox,1,1,-1
,1,1,0
arcticfox,-2,0,1
kitsune; griffin,0,0,0
wolf; germanshepherd,-1,0,0
dragon,-1,0,1
