  id   | empty_count | full_count | sum 
  1416 |          14 |         89 | 103
 11775 |          13 |         90 | 103
  2257 |          13 |         90 | 103
 11306 |          11 |         92 | 103
  7640 |          13 |         90 | 103
  7105 |          13 |         90 | 103
  3864 |          14 |         89 | 103
  3042 |          14 |         89 | 103
  3251 |          11 |         92 | 103
  5190 |          12 |         91 | 103
    92 |          13 |         90 | 103
  6290 |          14 |         89 | 103
  2205 |          13 |         90 | 103
 11379 |          13 |         90 | 103
  6857 |          14 |         89 | 103
 11356 |          10 |         93 | 103
  8837 |          13 |         90 | 103
  2975 |          14 |         89 | 103
  1474 |          12 |         91 | 103
  8063 |           8 |         95 | 103
  5664 |          13 |         90 | 103
  6861 |          13 |         90 | 103
 11107 |          14 |         89 | 103
  8135 |          13 |         90 | 103
  4818 |          14 |         89 | 103
  8203 |          14 |         89 | 103
 10595 |          14 |         89 | 103
 11656 |          13 |         90 | 103
  8409 |          13 |         90 | 103
  2637 |          14 |         89 | 103
  6489 |          14 |         89 | 103
  8516 |          14 |         90 | 104
 11210 |          15 |         89 | 104
 11499 |          14 |         90 | 104
  4747 |          14 |         90 | 104
  2079 |          14 |         90 | 104
  3858 |          13 |         91 | 104
  1140 |          14 |         90 | 104
  3922 |          14 |         90 | 104
  1875 |          12 |         92 | 104
  6684 |          13 |         91 | 104
  5912 |          14 |         90 | 104
  3825 |          14 |         90 | 104
  8109 |          14 |         90 | 104
  8523 |          13 |         91 | 104
  2599 |          12 |         92 | 104
  6473 |          14 |         90 | 104
 10055 |          14 |         90 | 104
 10534 |          11 |         93 | 104
 10043 |          13 |         91 | 104
  6122 |          16 |         88 | 104
 10519 |          14 |         90 | 104
  3207 |          14 |         90 | 104
  8120 |          12 |         92 | 104
  1191 |          13 |         91 | 104
  9974 |          13 |         91 | 104
  6309 |          12 |         92 | 104
  1869 |          13 |         91 | 104
  2603 |          14 |         90 | 104
  4480 |          14 |         90 | 104
  7010 |          13 |         91 | 104
  4841 |          14 |         90 | 104
 10805 |          13 |         91 | 104
  7759 |          11 |         93 | 104
  3967 |          13 |         91 | 104
  3356 |          13 |         91 | 104
  7007 |          10 |         94 | 104
  9260 |          11 |         93 | 104
  1762 |          14 |         90 | 104
   122 |          13 |         91 | 104
 10482 |          14 |         90 | 104
  5278 |          13 |         91 | 104
  9861 |          12 |         92 | 104
  8925 |          12 |         92 | 104
  1414 |          14 |         90 | 104
  1982 |          13 |         91 | 104
  8760 |          13 |         91 | 104
  4778 |          12 |         92 | 104
  2365 |          13 |         91 | 104
  6732 |          13 |         91 | 104
  5725 |          12 |         92 | 104
  5436 |          14 |         90 | 104
  5440 |          14 |         90 | 104
  1513 |          14 |         90 | 104
  4998 |          13 |         91 | 104
  2756 |          13 |         91 | 104
 10946 |          14 |         90 | 104
  8683 |          13 |         91 | 104
  9377 |          13 |         91 | 104
  2759 |          13 |         91 | 104
  7713 |          12 |         92 | 104
  6157 |          13 |         91 | 104
  9718 |          12 |         92 | 104
 10449 |          12 |         92 | 104
  9692 |          13 |         91 | 104
 10425 |          14 |         90 | 104
 11121 |          14 |         90 | 104
  7974 |          17 |         87 | 104
  1331 |          14 |         90 | 104
  6247 |          12 |         92 | 104
  6046 |          13 |         91 | 104
  3288 |          12 |         92 | 104
  7564 |          12 |         92 | 104
  4720 |           9 |         95 | 104
  9610 |          11 |         93 | 104
  1438 |          13 |         91 | 104
  9604 |          13 |         91 | 104
  7700 |          10 |         94 | 104
  8715 |          13 |         91 | 104
  9486 |          14 |         90 | 104
  1909 |          12 |         92 | 104
  1857 |          12 |         92 | 104
 11840 |          13 |         91 | 104
  2639 |          12 |         92 | 104
  7934 |          15 |         89 | 104
  2552 |          14 |         90 | 104
  2553 |          13 |         91 | 104
  5604 |          14 |         90 | 104
  3691 |          13 |         91 | 104
  3148 |          12 |         92 | 104
 11450 |          13 |         91 | 104
   918 |          11 |         93 | 104
   729 |          12 |         92 | 104
  2301 |          14 |         90 | 104
 10835 |          13 |         91 | 104
 11595 |          14 |         90 | 104
  5827 |          13 |         91 | 104
  7920 |          13 |         91 | 104
  8517 |          12 |         92 | 104
   933 |          11 |         93 | 104
  2808 |          12 |         92 | 104
  6219 |          14 |         90 | 104
  3320 |          14 |         90 | 104
  7444 |          12 |         92 | 104
  6818 |          11 |         93 | 104
 10369 |          13 |         91 | 104
  8059 |          14 |         90 | 104
   356 |          11 |         93 | 104
  6601 |          13 |         91 | 104
  6543 |          15 |         89 | 104
 11149 |          13 |         91 | 104
   354 |           7 |         97 | 104
  4935 |          12 |         92 | 104
  7847 |          13 |         91 | 104
  3728 |          13 |         91 | 104
  3296 |          11 |         93 | 104
  6853 |          15 |         89 | 104
  8354 |          14 |         90 | 104
  5135 |          14 |         90 | 104
  8747 |          14 |         90 | 104
 10289 |          13 |         91 | 104
 10286 |          13 |         91 | 104
  4755 |          15 |         89 | 104
  5324 |          10 |         94 | 104
  7924 |          14 |         90 | 104
  2680 |          17 |         87 | 104
  8373 |          14 |         90 | 104
  7602 |          13 |         91 | 104
  6867 |          14 |         90 | 104
 10600 |          14 |         90 | 104
 10794 |          15 |         89 | 104
  6875 |          13 |         91 | 104
  2894 |          13 |         91 | 104
  9065 |          13 |         91 | 104
  6298 |          13 |         91 | 104
  5143 |          14 |         90 | 104
  3933 |          13 |         91 | 104
  5228 |          14 |         90 | 104
  1867 |          12 |         92 | 104
  5743 |          14 |         90 | 104
  2133 |          14 |         90 | 104
  1678 |          14 |         90 | 104
  8072 |          13 |         91 | 104
  5728 |          14 |         90 | 104
  9543 |          14 |         90 | 104
  4824 |          12 |         92 | 104
  5461 |          13 |         91 | 104
  2122 |          14 |         90 | 104
  2993 |          14 |         90 | 104
 11043 |          13 |         91 | 104
 11173 |          13 |         91 | 104
  4030 |          12 |         92 | 104
  3113 |          14 |         90 | 104
 10722 |          14 |         90 | 104
  2097 |          13 |         91 | 104
  7422 |          14 |         90 | 104
   603 |          12 |         93 | 105
   591 |          12 |         93 | 105
  5778 |          13 |         92 | 105
  7966 |          13 |         92 | 105
  4732 |          11 |         94 | 105
   576 |          18 |         87 | 105
 10755 |          14 |         91 | 105
  4471 |          12 |         93 | 105
  4639 |          13 |         92 | 105
 10966 |          12 |         93 | 105
 10983 |          13 |         92 | 105
  6268 |          13 |         92 | 105
 11143 |          14 |         91 | 105
  3073 |          13 |         92 | 105
   180 |          12 |         93 | 105
  4626 |          13 |         92 | 105
  2494 |          13 |         92 | 105
  2486 |          13 |         92 | 105
   558 |          13 |         92 | 105
 11023 |          13 |         92 | 105
   703 |          13 |         92 | 105
  6281 |          11 |         94 | 105
 11046 |          12 |         93 | 105
  2620 |          14 |         91 | 105
  7164 |          13 |         92 | 105
  8739 |          14 |         91 | 105
  3679 |          13 |         92 | 105
  7851 |          14 |         91 | 105
  2437 |          13 |         92 | 105
   768 |          13 |         92 | 105
 10597 |          14 |         91 | 105
 10593 |          13 |         92 | 105
  2426 |          12 |         93 | 105
  2421 |          14 |         91 | 105
  3631 |          14 |         91 | 105
   483 |          11 |         94 | 105
  8085 |          12 |         93 | 105
  6676 |          13 |         92 | 105
  4761 |          13 |         92 | 105
  2691 |          12 |         93 | 105
 11803 |          14 |         91 | 105
  6681 |          14 |         91 | 105
 10537 |          13 |         92 | 105
  6590 |          13 |         92 | 105
  2399 |          14 |         91 | 105
  2397 |          13 |         92 | 105
  6588 |          14 |         91 | 105
  7436 |          13 |         92 | 105
  5797 |          14 |         91 | 105
   836 |          14 |         91 | 105
  2375 |          14 |         91 | 105
 11750 |          13 |         92 | 105
 11098 |          13 |         92 | 105
   855 |          13 |         92 | 105
  3811 |          12 |         93 | 105
  3579 |          13 |         92 | 105
  8148 |          14 |         91 | 105
  6742 |          12 |         93 | 105
  3618 |          14 |         91 | 105
  8155 |          14 |         91 | 105
  2337 |          12 |         93 | 105
  5709 |          13 |         92 | 105
  6770 |          14 |         91 | 105
   368 |          12 |         93 | 105
   193 |          11 |         94 | 105
  3034 |          12 |         93 | 105
 11111 |          13 |         92 | 105
  5826 |          13 |         92 | 105
  3522 |          13 |         92 | 105
  6799 |          12 |         93 | 105
  2797 |          12 |         93 | 105
  6220 |          14 |         91 | 105
  3495 |          14 |         91 | 105
  8292 |          14 |         91 | 105
  2824 |          11 |         94 | 105
 11195 |          14 |         91 | 105
  6497 |          12 |         93 | 105
  2850 |          13 |         92 | 105
  2225 |          12 |         93 | 105
  8319 |          13 |         92 | 105
   353 |          13 |         92 | 105
  7623 |          16 |         89 | 105
  2193 |          12 |         93 | 105
  3464 |          15 |         90 | 105
  3462 |          13 |         92 | 105
 10284 |          13 |         92 | 105
  5542 |          13 |         92 | 105
 11816 |          14 |         91 | 105
  6203 |          13 |         92 | 105
  2893 |          13 |         92 | 105
  6880 |          12 |         93 | 105
  9050 |          13 |         92 | 105
  1879 |          14 |         91 | 105
 10212 |          13 |         92 | 105
  9034 |          12 |         93 | 105
  4337 |          12 |         93 | 105
  2139 |          12 |         93 | 105
  9095 |          12 |         93 | 105
  8447 |          14 |         91 | 105
  6520 |          14 |         91 | 105
  3883 |          14 |         91 | 105
 10167 |          12 |         93 | 105
  8462 |          12 |         93 | 105
  7531 |          13 |         92 | 105
 10135 |          10 |         95 | 105
  9119 |          14 |         91 | 105
  5886 |          11 |         94 | 105
 10107 |          10 |         95 | 105
  8508 |          10 |         95 | 105
    69 |          14 |         91 | 105
  2082 |          13 |         92 | 105
  2108 |          11 |         94 | 105
  9004 |          13 |         92 | 105
  9152 |          13 |         92 | 105
  3763 |          13 |         92 | 105
  1145 |          14 |         91 | 105
  4139 |          12 |         93 | 105
  8525 |          11 |         94 | 105
  4883 |          14 |         91 | 105
  6193 |          12 |         93 | 105
  5210 |          12 |         93 | 105
  2059 |          13 |         92 | 105
   101 |          13 |         92 | 105
  6128 |          16 |         89 | 105
 11202 |          14 |         91 | 105
 10019 |          15 |         90 | 105
  6187 |          14 |         91 | 105
  5522 |          13 |         92 | 105
  8560 |          12 |         93 | 105
  1197 |          11 |         94 | 105
  2916 |          14 |         91 | 105
  5067 |          13 |         92 | 105
  8608 |          13 |         92 | 105
   304 |          14 |         91 | 105
   131 |          14 |         91 | 105
  7008 |          13 |         92 | 105
  5661 |          13 |         92 | 105
  6138 |          14 |         91 | 105
  4554 |          13 |         92 | 105
  1994 |          13 |         92 | 105
  3363 |          13 |         92 | 105
  7547 |          12 |         93 | 105
